Rank,Number of take out places(City)
0.0,0.1293984108967083
0.0232558139534883,0.1383168477379601
0.0465116279069767,0.1229122750121615
0.0697674418604651,0.0564293821955569
0.0930232558139534,0.0442678774120317
0.1162790697674418,0.0095670504297065
0.1395348837209302,0.0468623317658504
0.1627906976744186,0.2398248743311172
0.1860465116279069,0.339549213556024
0.2093023255813953,0.0872385276471542
0.2325581395348837,0.0912923625749959
0.2558139534883721,0.0017836873682503
0.2790697674418604,0.2506891519377331
0.3023255813953489,0.1921517755796984
0.3255813953488372,0.2279876763418193
0.3488372093023256,0.3633857629317334
0.3720930232558139,0.0945354305172693
0.3953488372093023,0.0225393221988
0.4186046511627907,0.0488081725312145
0.4418604651162791,0.0314577590400518
0.4651162790697674,0.0275660775093238
0.4883720930232558,0.1109129236257499
0.5116279069767441,0.0
0.5348837209302325,0.0757256364520836
0.5581395348837209,0.1928003891681531
0.5813953488372092,0.1512891195070536
0.6046511627906976,0.0548078482244203
0.627906976744186,0.0663207394194908
0.6511627906976744,0.9002756607750932
0.6744186046511628,0.1735041349116264
0.6976744186046511,0.1632884708934652
0.7209302325581395,0.0155667261229122
0.7441860465116279,0.1196692070698881
0.7674418604651162,0.1266418031457759
0.7906976744186046,0.6669369223285228
0.8139534883720929,0.5034862980379439
0.8372093023255813,0.0467001783687368
0.8604651162790697,1.0
0.883720930232558,0.039241122101508
0.9069767441860463,0.3479811902059348
0.9302325581395348,0.0801037781741527
0.9534883720930232,0.4590562672287984
0.9767441860465116,0.4793254418680072
1.0,0.1723690611318307
